{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.9806900024414
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4981038570404053
start time: 2023-11-15T20:50:20.000000000
end time: 2023-11-15T23:30:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
185.2000,3.8874,34.7096
184.2000,3.9112,34.7071
183.2000,3.9574,34.7045
182.2000,3.9976,34.7029
181.2000,3.9796,34.7028
180.2000,4.0178,34.7035
179.2000,4.0082,34.7061
178.2000,4.0510,34.7035
177.2000,4.0521,34.7016
176.2000,4.0370,34.7014
175.2000,4.0301,34.7011
174.2000,4.0679,34.7008
173.2000,4.1163,34.7011
172.2000,4.1075,34.7036
171.2000,4.0947,34.7021
170.2000,4.0824,34.7018
169.2000,4.1136,34.6999
168.2000,4.1398,34.6984
167.2000,4.1708,34.6993
166.2000,4.1856,34.6982
165.2000,4.2381,34.6939
164.2000,4.2488,34.6910
163.2000,4.2930,34.6923
162.2000,4.2915,34.6921
161.2000,4.2983,34.6909
160.2000,4.3374,34.6933
159.2000,4.3604,34.6917
158.2000,4.3677,34.6908
157.2000,4.3387,34.6899
156.2000,4.3609,34.6887
155.2000,4.4427,34.6835
154.2000,4.4641,34.6845
153.2000,4.4822,34.6825
152.2000,4.4794,34.6789
151.2000,4.5072,34.6754
150.2000,4.4797,34.6704
149.2000,4.4959,34.6696
148.2000,4.5240,34.6648
147.2000,4.5475,34.6612
146.2000,4.5617,34.6602
145.2000,4.5836,34.6571
144.2000,4.6016,34.6528
143.2000,4.6182,34.6499
142.2000,4.6470,34.6504
141.2000,4.7015,34.6495
140.2000,4.7156,34.6505
139.2000,4.7132,34.6481
138.2000,4.7243,34.6468
137.2000,4.8114,34.6425
136.2000,4.8421,34.6423
135.2000,4.9000,34.6419
134.2000,4.9494,34.6411
133.2000,5.0009,34.6398
132.2000,4.9803,34.6356
131.2000,5.0282,34.6341
130.2000,5.0822,34.6346
129.2000,5.1191,34.6369
128.2000,5.1886,34.6402
127.2000,5.2917,34.6418
126.2000,5.2859,34.6428
125.2000,5.2762,34.6417
124.2000,5.2977,34.6424
123.2000,5.3897,34.6429
122.2000,5.4366,34.6441
121.2000,5.4116,34.6435
120.2000,5.5037,34.6445
119.2000,5.5647,34.6423
118.2000,5.6364,34.6374
117.2000,5.6382,34.6409
116.2000,5.6655,34.6401
115.2000,5.7145,34.6403
114.2000,5.7210,34.6395
113.2000,5.8066,34.6378
112.2000,5.8385,34.6358
111.2000,5.9321,34.6328
110.2000,5.9953,34.6340
109.2000,6.0549,34.6317
108.2000,6.0852,34.6321
107.2000,6.0782,34.6367
106.2000,6.1539,34.6321
105.2000,6.2358,34.6298
